Country;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
European Union;2.1;1.1;0.9;2.5;1.9;3.5;3.1;0.6;-4.3;2.2;1.9;-0.7;-0.1;1.6;2.3;2;2.8;2.1;1.8;-5.7;5.4;3.3;0.3;1.6
Euro area;4.3;0.9;0.6;2.2;1.6;3.1;3.3;0.7;-3.8;2.2;1.8;-0.9;-0.3;1.6;2.4;1.9;2.6;1.8;1.6;-6.1;5.3;3.2;0.3;1.5
Belgium;1.1;1.7;1;3.6;2.3;2.6;3.7;0.4;-2;2.9;1.7;0.7;0.5;1.6;2;1.3;1.6;1.8;2.2;-5.4;6.1;2.8;0.2;1.5
Bulgaria;3.8;5.9;5.2;6.5;7.1;6.8;6.7;6.1;-3.3;1.5;2.1;0.8;-0.6;1;3.4;3;2.8;2.7;4;-4;7.6;3.1;1.1;2.4
Czechia;3;1.6;3.6;4.8;6.6;6.8;5.6;2.7;-4.7;2.4;1.8;-0.8;0;2.3;5.4;2.5;5.2;3.2;3;-5.5;3.5;2.5;0.1;1.8
Denmark;0.8;0.5;0.4;2.7;2.3;3.9;0.9;-0.5;-4.9;1.9;1.3;0.2;0.9;1.6;2.3;3.2;2.8;2;1.5;-2;4.9;3;0;1.3
Germany;1.7;-0.2;-0.7;1.2;0.7;3.8;3;1;-5.7;4.2;3.9;0.4;0.4;2.2;1.5;2.2;2.7;1;1.1;-3.7;2.6;1.6;-0.6;1.4
Estonia;6;6.8;7.6;6.8;9.5;9.8;7.6;-5.1;-14.6;2.4;7.3;3.2;1.5;3;1.9;3.2;5.8;3.8;3.7;-0.6;8;-0.1;0.7;2.1
Ireland;5.3;5.9;3;6.8;5.7;5;5.3;-4.5;-5.1;1.7;0.8;0;1.1;8.6;24.4;2;9;8.5;5.4;6.2;13.6;7.9;3.2;3.1
Greece;4.1;3.9;5.8;5.1;0.6;5.7;3.3;-0.3;-4.3;-5.5;-10.1;-7.1;-2.5;0.5;-0.2;-0.5;1.1;1.7;1.9;-9;8.4;6;1;2
Spain;3.9;2.7;3;3.1;3.7;4.1;3.6;0.9;-3.8;0.2;-0.8;-3;-1.4;1.4;3.8;3;3;2.3;2;-11.3;5.5;4.5;1;2
France;2;1.1;0.8;2.8;1.7;2.4;2.4;0.3;-2.9;1.9;2.2;0.3;0.6;1;1.1;1.1;2.3;1.9;1.8;-7.8;6.8;2.6;0.4;1.5
Croatia;3.1;5.8;5.6;4.2;4.3;4.9;5;2;-7.2;-1.2;-0.1;-2.3;-0.4;-0.4;2.5;3.6;3.4;2.8;3.4;-8.6;13.1;6;1;1.7
Italy;2;0.3;0.1;1.4;0.8;1.8;1.5;-1;-5.3;1.7;0.7;-3;-1.8;0;0.8;1.3;1.7;0.9;0.5;-9;6.7;3.8;0.3;1.1
Cyprus;4;3.7;2.6;5;4.9;4.7;5.1;3.6;-2;2.3;0.4;-3.4;-6.6;-1.8;3.4;6.6;5.7;5.6;5.5;-4.4;6.6;5.6;1;1.9
Latvia;6.3;7.1;8.4;8.3;10.7;12;9.9;-3.2;-14.3;-4.5;2.6;7;2;1.9;3.9;2.4;3.3;4;2.6;-2.2;4.1;1.9;-0.3;2.6
Lithuania;6.5;6.8;10.6;6.6;7.7;7.4;11.1;2.6;-14.8;1.7;6;3.8;3.5;3.5;2;2.5;4.3;4;4.6;0;6;2.5;0.5;2.4
Luxembourg;3.1;3.2;2.6;4.2;2.5;6;8.1;-0.3;-3.2;3.8;1;1.6;3.2;2.6;2.3;5;1.3;1.2;2.3;-0.8;5.1;1.5;1;2.4
Hungary;4.1;4.7;4.1;5;4.3;3.9;0.3;1;-6.6;1.1;1.9;-1.3;1.8;4.2;3.7;2.2;4.3;5.4;4.9;-4.5;7.1;5.5;0.1;2.6
Malta;-1.2;2.6;4.1;0.1;3.4;2.5;4.8;3.8;-1.1;5.5;0.5;4.1;5.5;7.6;9.6;3.4;10.9;6.2;5.9;-8.3;10.3;5.7;2.8;3.7
Netherlands;2.3;0.2;0.2;2;2.1;3.5;3.8;2.2;-3.7;1.3;1.6;-1;-0.1;1.4;2;2.2;2.9;2.4;2;-3.9;4.9;4.6;0.6;1.3
Austria;1.3;1.7;0.9;2.7;2.2;3.5;3.7;1.5;-3.8;1.8;2.9;0.7;0;0.7;1;2;2.3;2.4;1.5;-6.5;4.6;4.6;0.3;1.1
Poland;1.3;2;3.5;5;3.5;6.1;7.1;4.2;2.8;2.9;5;1.5;0.9;3.8;4.4;3;5.1;5.9;4.4;-2;6.8;4;0.7;2.6
Portugal;1.9;0.8;-0.9;1.8;0.8;1.6;2.5;0.3;-3.1;1.7;-1.7;-4.1;-0.9;0.8;1.8;2;3.5;2.8;2.7;-8.3;5.5;6.6;0.7;1.7
Romania;5.2;5.7;2.3;10.4;4.7;8;7.2;9.3;-5.5;-3.9;4.5;1.9;0.3;4.1;3.2;2.9;8.2;6;3.9;-3.7;5.1;5.8;1.8;2.2
Slovenia;3.2;3.5;3;4.4;3.8;5.7;7;3.5;-7.5;1.3;0.9;-2.6;-1;2.8;2.2;3.2;4.8;4.5;3.5;-4.3;8.2;6.2;0.8;1.7
Slovakia;3.3;4.5;5.5;5.3;6.6;8.5;10.8;5.6;-5.5;6.7;2.7;1.3;0.6;2.7;5.2;1.9;2.9;4;2.5;-3.4;3;1.9;0.5;1.9
Finland;2.6;1.7;2;4;2.8;4;5.3;0.8;-8.1;3.2;2.5;-1.4;-0.9;-0.4;0.5;2.8;3.2;1.1;1.2;-2.2;3;2.3;0.2;1.4
Sweden;1.4;2.2;2.3;4.3;2.9;4.7;3.4;-0.5;-4.3;6;3.2;-0.6;1.2;2.7;4.5;2.1;2.6;2;2;-2.2;5.1;2.9;-0.6;0.8
Norway;2.1;1.4;0.9;4;2.6;2.4;3;0.5;-1.7;0.7;1;2.7;1;2;2;1.1;2.3;1.1;0.7;-0.7;3.9;2.5;1.8;1.9
Switzerland;1.6;0;0;2.8;2.9;4;4;2.8;-2.1;3.3;1.9;1.2;1.8;2.4;1.7;2;1.6;2.9;1.2;-2.4;3.7;2.2;1.2;2
United Kingdom;2.7;2.2;3.3;2.3;3;2.7;2.4;-0.3;-4.1;2.1;1.3;1.4;2.2;2.9;2.4;1.7;1.7;1.3;1.4;-9.3;7.4;4.2;-0.9;0.9
United States;1;1.7;2.8;3.9;3.5;2.8;2;0.1;-2.6;2.7;1.5;2.3;1.8;2.3;2.7;1.7;2.3;2.9;2.3;-3.4;5.7;1.8;0.7;1.7
Canada;1.4;3.4;3.8;3.9;5;4.2;6.9;1;-2.9;3.1;3.1;1.8;2.3;2.9;0.7;1;3;2.8;1.9;-5.2;4.6;3.4;1.6;2.4
Japan;0.4;0;1.5;2.2;1.8;1.4;1.5;-1.2;-5.7;4.1;0;1.4;2;0.3;1.6;0.8;1.7;0.6;-0.2;-4.5;1.6;1.7;1.6;1.2
Brazil;1.4;3.1;1.1;5.8;3.2;4;6.1;5.1;-0.1;7.5;4;1.9;3;0.5;-3.5;-3.3;1.3;1.8;1.2;-3.9;4.6;2.5;0.8;1
Russian Federation;5.1;4.7;7.3;7.2;6.4;8.2;8.5;5.2;-7.8;4.5;4.3;4;1.8;0.7;-2;0.2;1.8;2.8;2.2;-2.7;4.8;-5.1;-3.2;0.9
India;4.8;3.8;7.9;7.9;7.9;8.1;7.7;3.1;7.9;8.5;5.2;5.5;6.4;7.4;8;8.3;6.8;6.5;3.7;-6.6;8.9;6.9;6;6.3
China;8.3;9.1;10;10.1;11.4;12.7;14.2;9.7;9.4;10.6;9.6;7.9;7.8;7.4;7;6.8;6.9;6.7;6;2.2;8.1;3.4;4.5;4.7
South Africa;2.7;3.7;2.9;4.6;5.3;5.6;5.4;3.2;-1.5;3;3.2;2.4;2.5;1.4;1.3;0.7;1.2;1.5;0.1;-6.4;4.9;2;1.4;1.6
